,x,y,most_significant_source,fire_risk
102,-122.81875,46.58680555555555,ndvi,4.357
103,-122.81875,46.586527777777775,ndvi,4.1571
104,-122.81875,46.58625,ndvi,3.5461
105,-122.81875,46.58597222222222,ndvi,3.5461
106,-122.81875,46.58569444444444,ndvi,3.981
107,-122.81875,46.58541666666667,ndvi,3.981
108,-122.81875,46.585138888888885,ndvi,4.232
109,-122.81875,46.58486111111111,ndvi,4.431900000000001
110,-122.81875,46.58458333333333,ndvi,4.357
111,-122.81875,46.58430555555555,ndvi,4.357
112,-122.81875,46.58402777777778,ndvi,3.997
113,-122.81875,46.58375,ndvi,3.997
114,-122.81875,46.58347222222222,ndvi,3.9221
115,-122.81875,46.583194444444445,ndvi,3.9221
116,-122.81875,46.58291666666666,ndvi,4.357
117,-122.81875,46.58263888888889,ndvi,4.482
118,-122.81875,46.58236111111111,ndvi,4.482
119,-122.81875,46.58208333333333,ndvi,4.122
120,-122.81875,46.58180555555556,ndvi,4.0719
121,-122.81875,46.58152777777777,ndvi,4.0719
122,-122.81875,46.58125,ndvi,4.0719
123,-122.81875,46.58097222222222,ndvi,3.997
124,-122.81875,46.58069444444444,ndvi,3.997
125,-122.81875,46.580416666666665,ndvi,3.997
126,-122.81875,46.58013888888889,ndvi,4.122
127,-122.81875,46.57986111111111,ndvi,4.373
128,-122.81875,46.57958333333333,ndvi,4.8239
129,-122.81875,46.57930555555555,ndvi,4.8239
130,-122.81875,46.579027777777775,ndvi,5.325900000000001
131,-122.81875,46.57875,ndvi,5.251
132,-122.81875,46.57847222222222,ndvi,4.6240000000000006
133,-122.81875,46.57819444444444,ndvi,4.373
134,-122.81875,46.57791666666667,ndvi,4.2981
135,-122.81875,46.577638888888885,ndvi,4.9091000000000005
136,-122.81875,46.57736111111111,ndvi,4.549100000000001
137,-122.81875,46.57708333333333,ndvi,4.549100000000001
138,-122.81875,46.57680555555555,ndvi,4.373
139,-122.81875,46.57652777777778,ndvi,4.373
140,-122.81875,46.57625,ndvi,4.373
141,-122.81875,46.57597222222222,ndvi,4.373
142,-122.81875,46.57569444444445,ndvi,3.997
143,-122.81875,46.57541666666666,ndvi,3.9221
144,-122.81875,46.57513888888889,ndvi,4.2821
145,-122.81875,46.57486111111111,ndvi,3.997
146,-122.81875,46.57458333333333,ndvi,3.872
147,-122.81875,46.574305555555554,ndvi,3.872
148,-122.81875,46.57402777777777,ndvi,3.872
149,-122.81875,46.57375,ndvi,4.232
150,-122.81875,46.57347222222222,ndvi,3.997
151,-122.81875,46.57319444444444,ndvi,3.997
152,-122.81875,46.57291666666666,ndvi,4.2821
153,-122.81875,46.57263888888889,ndvi,4.2821
154,-122.81875,46.57236111111111,ndvi,3.9221
155,-122.81875,46.57208333333333,ndvi,3.9221
156,-122.81875,46.57180555555555,ndvi,3.9221
157,-122.81875,46.571527777777774,ndvi,3.9221
158,-122.81875,46.57125,ndvi,3.9221
159,-122.81875,46.57097222222222,ndvi,4.2821
160,-122.81875,46.57069444444444,ndvi,4.4071
161,-122.81875,46.57041666666667,ndvi,4.4071
162,-122.81875,46.57013888888888,ndvi,4.658100000000001
163,-122.81875,46.56986111111111,ndvi,4.658100000000001
164,-122.81875,46.56958333333333,ndvi,4.9251000000000005
165,-122.81875,46.56930555555555,ndvi,5.0511
166,-122.81875,46.56902777777778,ndvi,5.0511
167,-122.81875,46.56875,ndvi,5.411100000000001
168,-122.81875,46.56847222222222,ndvi,5.36
169,-122.81875,46.56819444444445,ndvi,5.36
170,-122.81875,46.56791666666666,ndvi,4.9091000000000005
171,-122.81875,46.56763888888889,ndvi,4.9091000000000005
172,-122.81875,46.56736111111111,ndvi,5.1601
173,-122.81875,46.56708333333333,ndvi,5.411100000000001
174,-122.81875,46.566805555555554,ndvi,5.0511
175,-122.81875,46.56652777777777,ndvi,5.1761
176,-122.81875,46.56625,ndvi,4.8001000000000005
177,-122.81875,46.56597222222222,ndvi,4.8001000000000005
178,-122.81875,46.56569444444444,ndvi,4.9091000000000005
179,-122.81875,46.56541666666666,ndvi,4.533100000000001
180,-122.81875,46.56513888888889,ndvi,4.178100000000001
181,-122.81875,46.56486111111111,ndvi,4.2981
182,-122.81875,46.56458333333333,ndvi,4.2981
183,-122.81875,46.56430555555555,ndvi,4.549100000000001
184,-122.81875,46.564027777777774,ndvi,4.8001000000000005
185,-122.81875,46.56375,ndvi,4.8001000000000005
186,-122.81875,46.56347222222222,ndvi,4.549100000000001
187,-122.81875,46.56319444444444,ndvi,4.6691
188,-122.81875,46.562916666666666,ndvi,4.2981
189,-122.81875,46.56263888888888,ndvi,4.2981
190,-122.81875,46.56236111111111,ndvi,4.418100000000001
191,-122.81875,46.56208333333333,ndvi,4.2981
192,-122.81875,46.56180555555555,ndvi,4.418100000000001
193,-122.81875,46.561527777777776,ndvi,4.9091000000000005
194,-122.81875,46.56125,ndvi,5.1601
195,-122.81875,46.56097222222222,ndvi,5.411100000000001
196,-122.81875,46.56069444444445,ndvi,5.411100000000001
197,-122.81875,46.56041666666666,ndvi,5.536100000000001
198,-122.81875,46.560138888888886,ndvi,5.536100000000001
199,-122.81875,46.55986111111111,ndvi,5.1761
200,-122.81875,46.55958333333333,ndvi,5.411100000000001
201,-122.81875,46.559305555555554,ndvi,5.1601
202,-122.81875,46.55902777777777,ndvi,5.1601
203,-122.81875,46.55875,ndvi,4.8001000000000005
204,-122.81875,46.55847222222222,ndvi,4.9091000000000005
205,-122.81875,46.55819444444444,ndvi,4.9091000000000005
206,-122.81875,46.55791666666666,ndvi,4.418100000000001
207,-122.81875,46.55763888888889,ndvi,4.0421000000000005
208,-122.81875,46.55736111111111,ndvi,4.117000000000001
209,-122.81875,46.55708333333333,ndvi,4.122
210,-122.81875,46.55680555555556,ndvi,4.418100000000001
