,x,y,most_significant_source,fire_risk,subSum
1243472,-123.05180555555556,46.48708333333333,ndvi,5.801,454888.10329999996
1243576,-123.05152777777778,46.49375,ndvi,5.9508,23353.556
1258808,-123.05152777777778,46.49375,ndvi,5.9508,23353.556
1274040,-123.05152777777778,46.49375,ndvi,5.9508,23353.556
1289272,-123.05152777777778,46.49375,ndvi,5.9508,23353.556
1304504,-123.05152777777778,46.49375,ndvi,5.9508,23353.556
1319736,-123.05152777777778,46.49375,ndvi,5.9508,23353.556
1334968,-123.05152777777778,46.49375,ndvi,5.9508,23353.556
1350200,-123.05152777777778,46.49375,ndvi,5.9508,23353.556
1243577,-123.05152777777778,46.493472222222216,ndvi,5.875900000000001,23353.556
1258809,-123.05152777777778,46.493472222222216,ndvi,5.875900000000001,23353.556
1221661,-123.03069444444444,46.3998611111111,ndvi,5.9459,57021.324499999995
1222129,-123.02958333333332,46.41208333333333,ndvi,5.9459,57021.324499999995
1222130,-123.02958333333332,46.411805555555546,ndvi,5.9459,57021.324499999995
1225553,-123.02208333333331,46.42097222222221,ndvi,5.871,57021.324499999995
1222168,-123.02958333333332,46.40124999999999,ndvi,5.7961,57021.324499999995
1225554,-123.02208333333331,46.42069444444444,ndvi,5.7961,57021.324499999995
1225556,-123.02208333333331,46.42013888888888,ndvi,5.7961,57021.324499999995
1221662,-123.03069444444444,46.399583333333325,ndvi,5.746,57021.324499999995
1221407,-123.03125,46.39930555555555,ndvi,5.6949,57021.324499999995
1222131,-123.02958333333332,46.41152777777777,ndvi,5.6949,57021.324499999995
1186230,-123.04125,46.45875,ndvi,5.9159,66569.1434
1190197,-123.03263888888888,46.45902777777778,ndvi,5.8959,66569.1434
1187125,-123.03930555555556,46.45902777777778,ndvi,5.8458000000000006,66569.1434
1189430,-123.03430555555556,46.45875,ndvi,5.8458000000000006,66569.1434
1202920,-123.03791666666666,46.44763888888888,ndvi,5.83,66569.1434
1202921,-123.03791666666666,46.44736111111111,ndvi,5.83,66569.1434
1190325,-123.03236111111111,46.45902777777778,ndvi,5.821,66569.1434
1208998,-123.02486111111112,46.43041666666666,ndvi,5.8209,66569.1434
1186229,-123.04125,46.45902777777778,ndvi,5.7909,66569.1434
1186869,-123.03986111111112,46.45902777777778,ndvi,5.7709,66569.1434
1186721,-123.04013888888888,46.46458333333333,ndvi,6.0958000000000006,77912.9934
1191441,-123.02986111111112,46.469027777777775,ndvi,6.0209,77912.9934
1191716,-123.02930555555557,46.46375,ndvi,6.0209,77912.9934
1194515,-123.02319444444444,46.46847222222222,ndvi,6.0209,77912.9934
1196822,-123.01819444444445,46.467638888888885,ndvi,6.0209,77912.9934
1196949,-123.01791666666666,46.46791666666666,ndvi,6.0209,77912.9934
1197075,-123.01763888888888,46.46847222222222,ndvi,6.0209,77912.9934
1186738,-123.04013888888888,46.45986111111111,ndvi,5.9956000000000005,77912.9934
1188006,-123.03736111111112,46.46319444444444,ndvi,5.9956000000000005,77912.9934
1188007,-123.03736111111112,46.462916666666665,ndvi,5.9956000000000005,77912.9934
1178594,-123.02430555555556,46.515138888888885,ndvi,6.0418,62129.091100000005
1178598,-123.02430555555556,46.51402777777778,ndvi,5.966900000000001,62129.091100000005
1178724,-123.02402777777776,46.51458333333333,ndvi,5.966900000000001,62129.091100000005
1186745,-123.03986111111112,46.493472222222216,ndvi,5.946000000000001,62129.091100000005
1178465,-123.02458333333334,46.51541666666667,ndvi,5.9168,62129.091100000005
1171552,-123.03958333333333,46.51569444444444,ndvi,5.8959,62129.091100000005
1171554,-123.03958333333333,46.515138888888885,ndvi,5.8959,62129.091100000005
1189051,-123.03486111111113,46.492916666666666,ndvi,5.8959,62129.091100000005
1178353,-123.02486111111112,46.51097222222222,ndvi,5.892,62129.091100000005
1185724,-123.04208333333334,46.49263888888888,ndvi,5.8458000000000006,62129.091100000005
1141811,-123.03763888888888,46.55875,ndvi,5.5041,58655.8476
